Time:250Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.576,18,40.71991049,0,0,,,
0.58,18,11.88374125,0,0,,,
0.584,18,26.82376025,0,0,,,
0.588,18,53.3953757,0,0,,,
0.592,18,25.96359568,0,0,,,
0.596,18,43.89155264,0,0,,,
0.6,18,59.48900505,0,0,,,
0.604,18,15.24028841,0,0,,,
0.608,19,36.1192209,0,0,,,
0.612,19,78.35302803,0,0,,,
0.616,19,32.94585814,0,0,,,
0.62,19,-2.600371225,0,0,,,
0.624,19,15.88653149,0,0,,,
0.628,19,27.39317889,0,0,,,
0.632,19,33.38389299,0,0,,,
0.636,19,35.53950562,0,0,,,
0.64,20,3.845709784,0,0,,,
0.644,20,-10.20550912,0,0,,,
0.648,20,9.87356975,0,0,,,
0.652,20,9.48757661,0,0,,,
0.656,20,-3.963472188,0,0,,,
0.66,20,-0.491483081,0,0,,,
0.664,20,8.795689612,0,0,,,
0.668,20,-7.421511573,0,0,,,
0.672,21,-7.215942887,0,0,,,
0.676,21,5.28571227,0,0,,,
0.68,21,-1.649764409,0,0,,,
0.684,21,6.877181252,0,0,,,
0.688,21,9.158124432,0,0,,,
0.692,21,-24.38078302,0,0,,,
0.696,21,-9.263957807,0,0,,,
0.7,21,6.537413624,0,0,,,
0.704,22,-23.39601641,0,0,,,
0.708,22,-15.56839247,0,0,,,
0.712,22,-18.98541288,0,0,,,
0.716,22,-36.09106352,0,0,,,
0.72,22,-4.469092688,0,0,,,
0.724,22,23.56126614,0,0,,,
0.728,22,31.83782724,0,0,,,
0.732,22,29.61556685,0,0,,,
0.736,23,18.81518856,0,0,,,
0.74,23,6.317409497,0,0,,,
0.744,23,-11.75207309,0,0,,,
0.748,23,-6.54989206,0,0,,,
0.752,23,15.64013228,0,0,,,
0.756,23,14.70393795,0,0,,,
0.76,23,13.57563296,0,0,,,
0.764,23,34.94110617,0,0,,,
0.768,24,21.71459765,0,0,,,
0.772,24,7.995194285,0,0,,,
0.776,24,21.65564396,0,0,,,
0.78,24,5.925174036,0,0,,,
0.784,24,-3.487392002,0,0,,,
0.788,24,1.935478509,0,0,,,
0.792,24,-15.5862884,0,0,,,
0.796,24,-17.924105,0,0,,,
0.8,25,-11.78465094,0,0,,,
0.804,25,4.636101227,0,0,,,
0.808,25,33.42976557,0,0,,,
0.812,25,57.20851525,0,0,,,
0.816,25,70.41645212,0,0,,,
0.82,25,62.92548472,0,0,,,
0.824,25,56.98131778,0,0,,,
0.828,25,55.54954382,0,0,,,
0.832,26,28.36699081,0,0,,,
0.836,26,13.03137926,0,0,,,
0.84,26,31.11607996,0,0,,,
0.844,26,48.88026503,0,0,,,
0.848,26,45.74942539,0,0,,,
0.852,26,25.22690356,0,0,,,
0.856,26,21.19732603,0,0,,,
0.86,26,9.321072564,0,0,,,
0.864,27,4.210783891,0,0,,,
0.868,27,13.59773971,0,0,,,
0.872,27,1.606729955,0,0,,,
0.876,27,-4.674223872,0,0,,,
0.88,27,6.434439428,0,0,,,
0.884,27,-9.239589193,0,0,,,
0.888,27,-29.38458814,0,0,,,
0.892,27,-5.17573868,0,0,,,
0.896,28,39.59376639,0,0,,,
0.9,28,52.02435607,0,0,,,
0.904,28,27.54867603,0,0,,,
0.908,28,-9.989048099,0,0,,,
0.912,28,-4.781595905,0,0,,,
0.916,28,19.26582723,0,0,,,
0.92,28,11.09398685,0,0,,,
0.924,28,7.689156998,0,0,,,
0.928,29,1.879963489,0,0,,,
0.932,29,21.4521019,0,0,,,
0.936,29,62.21449752,0,0,,,
0.94,29,41.24515408,0,0,,,
0.944,29,-9.185583077,0,0,,,
0.948,29,1.377639971,0,0,,,
0.952,29,17.28439418,0,0,,,
0.956,29,-5.323036573,0,0,,,
0.96,30,-16.15842467,0,0,,,
0.964,30,-2.657110232,0,0,,,
0.968,30,5.303493335,0,0,,,
0.972,30,-6.714400264,0,0,,,
0.976,30,-15.28139222,0,0,,,
0.98,30,1.205252572,0,0,,,
0.984,30,15.72589827,0,0,,,
0.988,30,51.77314954,0,0,,,
0.992,31,80.63971035,0,0,,,
0.996,31,62.01786052,0,0,,,
1,31,50.46552886,0,0,,,
1.004,31,45.57581909,0,0,,,
1.008,31,35.04874773,0,0,,,
1.012,31,16.60110281,0,0,,,
1.016,31,-6.803965546,0,0,,,
1.02,31,1.089253544,0,0,,,
1.024,32,28.3387164,0,0,,,
1.028,32,25.12044743,0,0,,,
1.032,32,34.38963519,0,0,,,
1.036,32,51.23284144,0,0,,,
1.04,32,37.57714372,0,0,,,
1.044,32,33.40872938,0,0,,,
1.048,32,45.23952832,0,0,,,
1.052,32,47.98017675,0,0,,,
1.056,33,46.60674581,0,0,,,
1.06,33,73.16188134,0,0,,,
1.064,33,109.2869955,0,0,,,
1.068,33,75.61706184,0,0,,,
1.072,33,39.36692161,0,0,,,
1.076,33,59.02899025,0,0,,,
1.08,33,74.73158417,0,0,,,
1.084,33,87.33667724,0,0,,,
1.088,34,89.87387569,0,0,,,
1.092,34,52.92961132,0,0,,,
1.096,34,27.12110875,0,0,,,
1.1,34,43.17813929,0,0,,,
1.104,34,23.45457147,0,0,,,
1.108,34,-11.11601519,0,0,,,
1.112,34,24.88438956,0,0,,,
1.116,34,59.58900673,0,0,,,
1.12,35,55.41145149,0,0,,,
1.124,35,60.37740836,0,0,,,
1.128,35,62.08577585,0,0,,,
1.132,35,74.65923115,0,0,,,
1.136,35,87.57737233,0,0,,,
1.14,35,85.94232259,0,0,,,
1.144,35,96.43180703,0,0,,,
1.148,35,132.504144,0,0,,,
1.152,36,147.2210599,0,0,,,
1.156,36,118.588906,0,0,,,
1.16,36,92.76197708,0,0,,,
1.164,36,89.76172681,0,0,,,
1.168,36,52.14863703,0,0,,,
1.172,36,7.882492549,0,0,,,
1.176,36,20.55993747,0,0,,,
1.18,36,49.03372573,0,0,,,
1.184,37,66.67050657,0,0,,,
1.188,37,83.80541399,0,0,,,
1.192,37,85.71612156,0,0,,,
1.196,37,41.03446377,0,0,,,
1.2,37,6.139761317,0,0,,,
1.204,37,21.21999795,0,0,,,
1.208,37,24.30908342,0,0,,,
1.212,37,9.107800195,0,0,,,
1.216,38,31.81376738,0,0,,,
1.22,38,64.72979382,0,0,,,
1.224,38,70.17100472,0,0,,,
1.228,38,34.62748883,0,0,,,
1.232,38,12.48824572,0,0,,,
1.236,38,38.19092996,0,0,,,
1.24,38,52.3018341,0,0,,,
1.244,38,37.77884715,0,0,,,
1.248,39,25.07534166,0,0,,,
1.252,39,19.79035166,0,0,,,
1.256,39,19.77208057,0,0,,,
1.26,39,6.551185842,0,0,,,
1.264,39,6.02900208,0,0,,,
1.268,39,8.337024029,0,0,,,
1.272,39,0.586367931,0,0,,,
1.276,39,10.35639275,0,0,,,
1.28,40,29.36422357,0,0,,,
1.284,40,52.49428732,0,0,,,
1.288,40,52.64920674,0,0,,,
1.292,40,49.72124061,0,0,,,
1.296,40,66.35007202,0,0,,,
1.3,40,79.27465632,0,0,,,
1.304,40,81.16864749,0,0,,,
1.308,40,74.30962764,0,0,,,
1.312,41,82.53541325,0,0,,,
1.316,41,104.6266875,0,0,,,
1.32,41,87.99443225,0,0,,,
1.324,41,59.25285392,0,0,,,
1.328,41,51.49347642,0,0,,,
1.332,41,38.56512689,0,0,,,
1.336,41,45.62748568,0,0,,,
1.34,41,88.01494406,0,0,,,
1.344,42,68.58344068,0,0,,,
1.348,42,42.90656903,0,0,,,
1.352,42,86.47102095,0,0,,,
1.356,42,110.690028,0,0,,,
1.36,42,99.69419277,0,0,,,
1.364,42,75.78263972,0,0,,,
1.368,42,64.57491158,0,0,,,
1.372,42,66.75536622,0,0,,,
1.376,43,44.8558244,0,0,,,
1.38,43,33.91701731,0,0,,,
1.384,43,29.06061184,0,0,,,
1.388,43,17.8901271,0,0,,,
1.392,43,60.13378239,0,0,,,
1.396,43,116.4140135,0,0,,,
1.4,43,132.0461957,0,0,,,
1.404,43,106.1863684,0,0,,,
1.408,44,54.86561326,0,0,,,
1.412,44,32.97845622,0,0,,,
1.416,44,52.70252986,0,0,,,
1.42,44,59.51437904,0,0,,,
1.424,44,68.28912088,0,0,,,
1.428,44,87.91261395,0,0,,,
1.432,44,72.42000895,0,0,,,
1.436,44,40.5873429,0,0,,,
1.44,45,42.25610384,0,0,,,
1.444,45,64.57551457,0,0,,,
1.448,45,99.53041126,0,0,,,
1.452,45,101.1187028,0,0,,,
1.456,45,38.5392173,0,0,,,
1.46,45,-2.651011148,0,0,,,
1.464,45,12.17800586,0,0,,,
1.468,45,54.08776341,0,0,,,
1.472,46,84.73345095,0,0,,,
1.476,46,92.01237505,0,0,,,
1.48,46,90.7312027,0,0,,,
1.484,46,82.67928512,0,0,,,
1.488,46,86.43031287,0,0,,,
1.492,46,92.68197533,0,0,,,
1.496,46,65.43327882,0,0,,,
1.5,46,42.8796199,0,0,,,
1.504,47,61.68674184,0,0,,,
1.508,47,103.0287204,0,0,,,
1.512,47,90.21295096,0,0,,,
1.516,47,43.44919003,0,0,,,
1.52,47,56.49469377,0,0,,,
1.524,47,96.24609856,0,0,,,
1.528,47,97.14152285,0,0,,,
1.532,47,103.4449678,0,0,,,
1.536,48,125.1973944,0,0,,,
1.54,48,112.2786515,0,0,,,
1.544,48,93.60465156,0,0,,,
1.548,48,105.3929404,0,0,,,
1.552,48,106.9220607,0,0,,,
1.556,48,83.36726009,0,0,,,
1.56,48,92.22839286,0,0,,,
1.564,48,107.8354372,0,0,,,
1.568,49,88.8206603,0,0,,,
1.572,49,91.66971504,0,0,,,
1.576,49,107.7748233,0,0,,,
1.58,49,87.68169462,0,0,,,
1.584,49,72.94537078,0,0,,,
1.588,49,53.97656423,0,0,,,
1.592,49,26.90632995,0,0,,,
1.596,49,34.56302261,0,0,,,
1.6,50,59.75054895,0,0,,,
1.604,50,59.2219407,0,0,,,
1.608,50,49.1267126,0,0,,,
1.612,50,33.77201038,0,0,,,
1.616,50,26.88440853,0,0,,,
1.62,50,55.94046415,0,0,,,
1.624,50,97.65869929,0,0,,,
1.628,50,106.7764815,0,0,,,
1.632,51,91.13312917,0,0,,,
1.636,51,68.64449186,0,0,,,
1.64,51,40.36321857,0,0,,,
1.644,51,35.51957341,0,0,,,
1.648,51,37.38928261,0,0,,,
1.652,51,26.51128297,0,0,,,
1.656,51,53.32462295,0,0,,,
1.66,51,92.42278902,0,0,,,
1.664,52,83.55824005,0,0,,,
1.668,52,97.57443181,0,0,,,
1.672,52,113.8091764,0,0,,,
1.676,52,67.0929806,0,0,,,
1.68,52,40.15212159,0,0,,,
1.684,52,65.43310031,0,0,,,
1.688,52,55.86014607,0,0,,,
1.692,52,41.61785971,0,0,,,
1.696,53,75.07116534,0,0,,,
1.7,53,99.16870762,0,0,,,
1.704,53,88.6128513,0,0,,,
1.708,53,86.67738741,0,0,,,
1.712,53,74.38646126,0,0,,,
1.716,53,56.69986049,0,0,,,
1.72,53,80.66168442,0,0,,,
1.724,53,84.80450447,0,0,,,
1.728,54,45.94185625,0,0,,,
1.732,54,48.02426183,0,0,,,
1.736,54,82.65405909,0,0,,,
1.74,54,96.05444107,0,0,,,
1.744,54,108.5658895,0,0,,,
1.748,54,96.0643475,0,0,,,
1.752,54,59.4637524,0,0,,,
1.756,54,56.17885574,0,0,,,
1.76,55,67.39626359,0,0,,,
1.764,55,79.80357447,0,0,,,
1.768,55,114.3172405,0,0,,,
1.772,55,115.8397981,0,0,,,
1.776,55,90.72520006,0,0,,,
1.78,55,91.86323631,0,0,,,
1.784,55,92.525346,0,0,,,
1.788,55,89.28036593,0,0,,,
1.792,56,96.97737616,0,0,,,
1.796,56,78.26119335,0,0,,,
1.8,56,66.01053585,0,0,,,
1.804,56,78.99881303,0,0,,,
1.808,56,92.42325758,0,0,,,
1.812,56,79.93354776,0,0,,,
1.816,56,28.74834236,0,0,,,
1.82,56,-4.745307453,0,0,,,
1.824,57,25.83603569,0,0,,,
1.828,57,60.36521517,0,0,,,
1.832,57,29.82465869,0,0,,,
1.836,57,16.0339056,0,0,,,
1.84,57,48.60444934,0,0,,,
1.844,57,59.23610183,0,0,,,
1.848,57,75.68217734,0,0,,,
1.852,57,86.45397931,0,0,,,
1.856,58,43.18348684,0,0,,,
1.86,58,55.91555163,0,0,,,
1.864,58,121.2851996,0,0,,,
1.868,58,174.9009065,0,0,,,
1.872,58,232.1588758,0,0,,,
1.876,58,272.0589072,0,0,,,
1.88,58,316.2659374,0,0,,,
1.884,58,405.1742244,0,0,,,
1.888,59,465.3322271,0,0,,,
1.892,59,422.429635,0,0,,,
1.896,59,333.5003119,0,0,,,
1.9,59,287.286857,0,0,,,
1.904,59,258.0052979,0,0,,,
1.908,59,204.9792029,0,0,,,
1.912,59,157.8147732,0,0,,,
1.916,59,131.1695452,0,0,,,
1.92,60,101.8997146,0,0,,,
1.924,60,73.02924475,0,0,,,
1.928,60,45.11898367,0,0,,,
1.932,60,-15.32372601,0,0,,,
1.936,60,-52.79969493,0,0,,,
1.94,60,-68.40694265,0,0,,,
1.944,60,-117.5725441,0,0,,,
1.948,60,-168.1872476,0,0,,,
1.952,61,-163.2153236,0,0,,,
1.956,61,-130.0805523,0,0,,,
1.96,61,-102.691617,0,0,,,
1.964,61,-86.72146784,0,0,,,
1.968,61,-111.9716019,0,0,,,
1.972,61,-145.4395622,0,0,,,
1.976,61,-121.9446718,0,0,,,
1.98,61,-92.33940396,0,0,,,
1.984,62,-107.093181,0,0,,,
1.988,62,-131.9333393,0,0,,,
1.992,62,-136.7830817,0,0,,,
1.996,62,-122.8637611,0,0,,,
2,62,-105.5330637,0,0,,,
