Time:512Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.0000000000,0,4.0000000000,38.0000000000,35.0000000000,,,
0.0019531250,0,-14.0000000000,38.0000000000,35.0000000000,,,
0.0039062500,0,-17.0000000000,38.0000000000,35.0000000000,,,
0.0058593750,0,-9.0000000000,38.0000000000,35.0000000000,,,
0.0078125000,0,0.0000000000,38.0000000000,35.0000000000,,,
0.0097656250,0,5.0000000000,38.0000000000,35.0000000000,,,
0.0117187500,0,3.0000000000,38.0000000000,35.0000000000,,,
0.0136718750,0,17.0000000000,38.0000000000,35.0000000000,,,
0.0156250000,0,33.0000000000,38.0000000000,35.0000000000,,,
0.0175781250,0,35.0000000000,38.0000000000,35.0000000000,,,
0.0195312500,0,28.0000000000,38.0000000000,35.0000000000,,,
0.0214843750,0,28.0000000000,38.0000000000,35.0000000000,,,
0.0234375000,0,33.0000000000,38.0000000000,35.0000000000,,,
0.0253906250,0,19.0000000000,38.0000000000,35.0000000000,,,
0.0273437500,0,-2.0000000000,38.0000000000,35.0000000000,,,
0.0292968750,0,1.0000000000,38.0000000000,35.0000000000,,,
0.0312500000,0,21.0000000000,38.0000000000,35.0000000000,,,
0.0332031250,0,19.0000000000,38.0000000000,35.0000000000,,,
0.0351562500,0,-3.0000000000,38.0000000000,35.0000000000,,,
0.0371093750,0,-9.0000000000,38.0000000000,35.0000000000,,,
0.0390625000,0,-7.0000000000,38.0000000000,35.0000000000,,,
0.0410156250,0,-10.0000000000,38.0000000000,35.0000000000,,,
0.0429687500,0,-18.0000000000,38.0000000000,35.0000000000,,,
0.0449218750,0,-17.0000000000,38.0000000000,35.0000000000,,,
0.0468750000,0,-11.0000000000,38.0000000000,35.0000000000,,,
0.0488281250,0,-9.0000000000,38.0000000000,35.0000000000,,,
0.0507812500,0,-14.0000000000,38.0000000000,35.0000000000,,,
0.0527343750,0,-9.0000000000,38.0000000000,35.0000000000,,,
0.0546875000,0,7.0000000000,38.0000000000,35.0000000000,,,
0.0566406250,0,1.0000000000,38.0000000000,35.0000000000,,,
0.0585937500,0,-12.0000000000,38.0000000000,35.0000000000,,,
0.0605468750,0,-13.0000000000,38.0000000000,35.0000000000,,,
0.0625000000,1,7.0000000000,38.0000000000,35.0000000000,,,
0.0644531250,1,21.0000000000,38.0000000000,35.0000000000,,,
0.0664062500,1,3.0000000000,38.0000000000,35.0000000000,,,
0.0683593750,1,-20.0000000000,38.0000000000,35.0000000000,,,
0.0703125000,1,-20.0000000000,38.0000000000,35.0000000000,,,
0.0722656250,1,6.0000000000,38.0000000000,35.0000000000,,,
0.0742187500,1,26.0000000000,38.0000000000,35.0000000000,,,
