Time:128Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.0000000000,0,-60.0000000000,21.0000000000,35.0000000000,,,
0.0078125000,0,-52.7879073512,21.0000000000,35.0000000000,,,
0.0156250000,0,-8.8739447587,21.0000000000,35.0000000000,,,
0.0234375000,0,25.2895486395,21.0000000000,35.0000000000,,,
0.0312500000,0,27.1297566646,21.0000000000,35.0000000000,,,
0.0390625000,0,47.8027675684,21.0000000000,35.0000000000,,,
0.0468750000,0,65.2426781770,21.0000000000,35.0000000000,,,
0.0546875000,0,63.5800048507,21.0000000000,35.0000000000,,,
0.0625000000,1,61.1283348275,21.0000000000,35.0000000000,,,
0.0703125000,1,53.0769254660,21.0000000000,35.0000000000,,,
0.0781250000,1,60.1052997589,21.0000000000,35.0000000000,,,
0.0859375000,1,74.1021082214,21.0000000000,35.0000000000,,,
0.0937500000,1,67.7248495957,21.0000000000,35.0000000000,,,
0.1015625000,1,75.5948583919,21.0000000000,35.0000000000,,,
0.1093750000,1,60.4632268218,21.0000000000,35.0000000000,,,
0.1171875000,1,41.0250119580,21.0000000000,35.0000000000,,,
0.1250000000,2,45.2358637510,21.0000000000,35.0000000000,,,
0.1328125000,2,50.5008657043,21.0000000000,35.0000000000,,,
0.1406250000,2,64.2410768647,21.0000000000,35.0000000000,,,
0.1484375000,2,73.6725868355,21.0000000000,35.0000000000,,,
0.1562500000,2,67.0121074813,21.0000000000,35.0000000000,,,
0.1640625000,2,46.6168448983,21.0000000000,35.0000000000,,,
0.1718750000,2,53.2574537207,21.0000000000,35.0000000000,,,
0.1796875000,2,81.1389777727,21.0000000000,35.0000000000,,,
0.1875000000,3,80.2950581089,21.0000000000,35.0000000000,,,
0.1953125000,3,49.5194160360,21.0000000000,35.0000000000,,,
0.2031250000,3,30.8828821356,21.0000000000,35.0000000000,,,
0.2109375000,3,52.7375770036,21.0148927462,35.0223391194,,,
0.2187500000,3,107.9114350239,21.5395331193,35.8092996789,,,
0.2265625000,3,136.1524009515,22.6681733057,37.5022599585,,,
0.2343750000,3,109.4390414898,23.2173984790,38.3260977185,,,
0.2421875000,3,87.2582218996,23.0973759623,38.1460639434,,,
0.2500000000,4,90.8420322617,22.9435367618,37.9153051427,,,
0.2578125000,4,75.6878097403,22.9643678800,37.9465518200,,,
0.2656250000,4,44.0146069963,23.0135315297,38.0202972945,,,
0.2734375000,4,81.1035701009,23.0126959579,38.0190439368,,,
0.2812500000,4,122.4027319564,22.9973900966,37.9960851450,,,
0.2890625000,4,100.9242602408,22.9957855826,37.9936783740,,,
0.2968750000,4,72.5701023663,23.0002937411,38.0004406116,,,
0.3046875000,4,78.9304498703,23.0013300061,38.0019950092,,,
0.3125000000,5,55.4111281361,23.0000698332,38.0001047497,,,
0.3203125000,5,31.5902756940,22.9995997387,37.9993996081,,,
0.3281250000,5,93.8011423208,22.9999303425,37.9998955137,,,
0.3359375000,5,189.2395757849,23.0001145968,38.0001718952,,,
0.3437500000,5,269.4726159551,23.0000352031,38.0000528047,,,
0.3515625000,5,339.2333993147,22.9999690281,37.9999535422,,,
0.3593750000,5,366.2687207729,22.9999854538,37.9999781807,,,
0.3671875000,5,405.6381317144,23.0000077648,38.0000116472,,,
0.3750000000,6,445.2772779097,23.0000054045,38.0000081068,,,
0.3828125000,6,410.2548869878,22.9999982650,37.9999973975,,,
0.3906250000,6,329.8483511005,22.9999981305,37.9999971957,,,
0.3984375000,6,252.7603484449,23.0000003080,38.0000004619,,,
0.4062500000,6,174.9174741335,23.0000006115,38.0000009173,,,
0.4140625000,6,67.0138977956,22.9999999790,37.9999999685,,,
0.4218750000,6,-28.3600620491,22.9999998096,37.9999997144,,,
0.4296875000,6,-103.1947517387,22.9999999835,37.9999999753,,,
0.4375000000,7,-171.6179391706,23.0000000565,38.0000000848,,,
0.4453125000,7,-234.2040099186,23.0000000119,38.0000000178,,,
0.4531250000,7,-268.1412815910,22.9999999841,37.9999999761,,,
0.4609375000,7,-261.1647709906,22.9999999944,37.9999999916,,,
0.4687500000,7,-250.4974769753,23.0000000042,38.0000000063,,,
0.4765625000,7,-254.6765441438,23.0000000022,38.0000000033,,,
0.4843750000,7,-271.6572086884,22.9999999990,37.9999999985,,,
0.4921875000,7,-257.6021498737,22.9999999992,37.9999999988,,,
0.5000000000,8,-219.8773252745,23.0000000002,38.0000000003,,,
0.5078125000,8,-176.3451219155,23.0000000003,38.0000000004,,,
0.5156250000,8,-123.9149979862,23.0000000000,37.9999999999,,,
0.5234375000,8,-108.3154052538,22.9999999999,37.9999999999,,,
0.5312500000,8,-90.2445344490,23.0000000000,38.0000000000,,,
0.5390625000,8,-51.4975252072,23.0000000000,38.0000000000,,,
0.5468750000,8,-67.3096991284,23.0000000000,38.0000000000,,,
0.5546875000,8,-75.7936428760,23.0000000000,38.0000000000,,,
0.5625000000,9,-61.4522303966,23.0000000000,38.0000000000,,,
0.5703125000,9,-54.5149212854,23.0000000000,38.0000000000,,,
0.5781250000,9,-31.2671901606,23.0000000000,38.0000000000,,,
0.5859375000,9,8.9329925660,23.0000000000,38.0000000000,,,
0.5937500000,9,31.0223185805,23.0000000000,38.0000000000,,,
0.6015625000,9,32.5065139445,23.0000000000,38.0000000000,,,
0.6093750000,9,57.1714966620,23.0000000000,38.0000000000,,,
0.6171875000,9,70.4217580756,23.0000000000,38.0000000000,,,
0.6250000000,10,89.3090487698,23.0000000000,38.0000000000,,,
0.6328125000,10,102.8000523828,23.0000000000,38.0000000000,,,
0.6406250000,10,101.4627629572,23.0000000000,38.0000000000,,,
0.6484375000,10,79.6103824682,23.0000000000,38.0000000000,,,
0.6562500000,10,57.2606093726,23.0000000000,38.0000000000,,,
0.6640625000,10,63.2583167393,23.0000000000,38.0000000000,,,
0.6718750000,10,76.0620288803,23.0000000000,38.0000000000,,,
0.6796875000,10,53.1483337859,23.0000000000,38.0000000000,,,
0.6875000000,11,42.3627182661,23.0000000000,38.0000000000,,,
0.6953125000,11,42.8052787374,23.0000000000,38.0000000000,,,
0.7031250000,11,39.3610751803,23.0000000000,38.0000000000,,,
0.7109375000,11,51.1195484714,23.0000000000,38.0000000000,,,
0.7187500000,11,47.9824820498,23.0000000000,38.0000000000,,,
0.7265625000,11,31.9510118920,23.0000000000,38.0000000000,,,
0.7343750000,11,33.0928703005,23.0000000000,38.0000000000,,,
0.7421875000,11,31.2264513912,23.0000000000,38.0000000000,,,
0.7500000000,12,7.9444619021,23.0000000000,38.0000000000,,,
0.7578125000,12,39.1638827733,23.0000000000,38.0000000000,,,
0.7656250000,12,103.8956008592,23.0000000000,38.0000000000,,,
0.7734375000,12,86.0056514230,23.0000000000,38.0000000000,,,
0.7812500000,12,37.3870330023,23.0000000000,38.0000000000,,,
