Time:512Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
0.0000000000,0,54.0000000000,,,
0.0019531250,0,2.0000000000,,,
0.0039062500,0,54.0000000000,,,
0.0058593750,0,73.0000000000,,,
0.0078125000,0,-24.0000000000,,,
0.0097656250,0,-89.0000000000,,,
0.0117187500,0,-28.0000000000,,,
0.0136718750,0,49.0000000000,,,
0.0156250000,0,40.0000000000,,,
0.0175781250,0,-36.0000000000,,,
0.0195312500,0,-53.0000000000,,,
0.0214843750,0,-24.0000000000,,,
0.0234375000,0,-46.0000000000,,,
0.0253906250,0,-59.0000000000,,,
0.0273437500,0,9.0000000000,,,
0.0292968750,0,86.0000000000,,,
0.0312500000,0,82.0000000000,,,
0.0332031250,0,-2.0000000000,,,
0.0351562500,0,-57.0000000000,,,
0.0371093750,0,-17.0000000000,,,
0.0390625000,0,3.0000000000,,,
0.0410156250,0,-39.0000000000,,,
0.0429687500,0,-33.0000000000,,,
0.0449218750,0,45.0000000000,,,
0.0468750000,0,85.0000000000,,,
0.0488281250,0,48.0000000000,,,
0.0507812500,0,-33.0000000000,,,
0.0527343750,0,-34.0000000000,,,
0.0546875000,0,32.0000000000,,,
0.0566406250,0,16.0000000000,,,
0.0585937500,0,-34.0000000000,,,
0.0605468750,0,0.0000000000,,,
0.0625000000,1,74.0000000000,,,
0.0644531250,1,80.0000000000,,,
0.0664062500,1,-2.0000000000,,,
0.0683593750,1,-60.0000000000,,,
0.0703125000,1,-26.0000000000,,,
0.0722656250,1,6.0000000000,,,
0.0742187500,1,3.0000000000,,,
0.0761718750,1,51.0000000000,,,
0.0781250000,1,153.0000000000,,,
0.0800781250,1,215.0000000000,,,
0.0820312500,1,165.0000000000,,,
0.0839843750,1,37.0000000000,,,
0.0859375000,1,-8.0000000000,,,
0.0878906250,1,65.0000000000,,,
0.0898437500,1,77.0000000000,,,
0.0917968750,1,23.0000000000,,,
0.0937500000,1,7.0000000000,,,
0.0957031250,1,35.0000000000,,,
0.0976562500,1,42.0000000000,,,
0.0996093750,1,9.0000000000,,,
0.1015625000,1,-23.0000000000,,,
0.1035156250,1,1.0000000000,,,
0.1054687500,1,22.0000000000,,,
0.1074218750,1,-21.0000000000,,,
0.1093750000,1,-36.0000000000,,,
0.1113281250,1,35.0000000000,,,
0.1132812500,1,114.0000000000,,,
0.1152343750,1,108.0000000000,,,
0.1171875000,1,22.0000000000,,,
0.1191406250,1,-27.0000000000,,,
0.1210937500,1,-5.0000000000,,,
0.1230468750,1,-36.0000000000,,,
0.1250000000,2,-109.0000000000,,,
0.1269531250,2,-71.0000000000,,,
0.1289062500,2,71.0000000000,,,
0.1308593750,2,153.0000000000,,,
0.1328125000,2,84.0000000000,,,
0.1347656250,2,-52.0000000000,,,
0.1367187500,2,-82.0000000000,,,
0.1386718750,2,-17.0000000000,,,
0.1406250000,2,-10.0000000000,,,
0.1425781250,2,-24.0000000000,,,
0.1445312500,2,36.0000000000,,,
0.1464843750,2,104.0000000000,,,
0.1484375000,2,88.0000000000,,,
0.1503906250,2,16.0000000000,,,
0.1523437500,2,-26.0000000000,,,
0.1542968750,2,21.0000000000,,,
0.1562500000,2,27.0000000000,,,
0.1582031250,2,-38.0000000000,,,
0.1601562500,2,-20.0000000000,,,
0.1621093750,2,118.0000000000,,,
0.1640625000,2,215.0000000000,,,
