Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
0.56,17,69.6434537,,,
0.564,17,72.29567633,,,
0.568,17,82.50595388,,,
0.572,17,58.22445739,,,
0.576,18,40.01406728,,,
0.58,18,62.77290936,,,
0.584,18,65.61828959,,,
0.588,18,35.40430218,,,
0.592,18,-0.844374512,,,
0.596,18,-11.73510015,,,
0.6,18,21.060379,,,
0.604,18,47.61225167,,,
0.608,19,56.35841562,,,
0.612,19,51.53354179,,,
0.616,19,41.82255114,,,
0.62,19,51.72039182,,,
0.624,19,55.41447806,,,
0.628,19,49.67241641,,,
0.632,19,11.66273495,,,
0.636,19,-28.1728363,,,
0.64,20,5.633696654,,,
0.644,20,52.05056998,,,
0.648,20,72.47081676,,,
0.652,20,82.02379823,,,
0.656,20,57.99365841,,,
0.66,20,12.61911877,,,
0.664,20,-1.946870119,,,
0.668,20,9.088967634,,,
0.672,21,9.129979217,,,
0.676,21,46.72378293,,,
0.68,21,96.97612191,,,
0.684,21,81.45027125,,,
0.688,21,46.64361038,,,
0.692,21,43.04607522,,,
0.696,21,46.77753819,,,
0.7,21,54.82894225,,,
0.704,22,77.13434317,,,
0.708,22,83.96755235,,,
0.712,22,33.83176654,,,
0.716,22,7.015111907,,,
0.72,22,91.8698174,,,
0.724,22,134.6077201,,,
0.728,22,82.22906307,,,
0.732,22,56.35041522,,,
0.736,23,31.81503286,,,
0.74,23,-7.175627221,,,
0.744,23,3.077965107,,,
0.748,23,38.33420419,,,
0.752,23,24.77314672,,,
0.756,23,-24.42260061,,,
0.76,23,-15.43310969,,,
0.764,23,26.69495512,,,
0.768,24,18.87013052,,,
0.772,24,8.673751447,,,
0.776,24,30.49263028,,,
0.78,24,25.9757219,,,
0.784,24,11.50949722,,,
0.788,24,33.40046712,,,
0.792,24,36.81574786,,,
0.796,24,6.057364151,,,
0.8,25,0.382637814,,,
0.804,25,-4.150752159,,,
0.808,25,-30.97060485,,,
0.812,25,9.778153496,,,
0.816,25,84.86311557,,,
0.82,25,88.28381107,,,
0.824,25,63.73671706,,,
0.828,25,45.84399076,,,
0.832,26,9.888357142,,,
0.836,26,-9.797858913,,,
0.84,26,22.93708511,,,
0.844,26,45.95739643,,,
0.848,26,28.93834354,,,
0.852,26,21.5803457,,,
0.856,26,14.77207726,,,
0.86,26,10.55176828,,,
0.864,27,19.81847763,,,
0.868,27,13.02047694,,,
0.872,27,10.70356345,,,
0.876,27,22.46150009,,,
0.88,27,20.65042192,,,
0.884,27,11.69912068,,,
0.888,27,31.93317627,,,
0.892,27,62.40555416,,,
0.896,28,60.80781254,,,
0.9,28,72.762259,,,
0.904,28,74.91094723,,,
0.908,28,53.49492662,,,
0.912,28,35.59817628,,,
0.916,28,9.419576419,,,
0.92,28,10.15894214,,,
0.924,28,14.59376514,,,
0.928,29,13.93997564,,,
0.932,29,21.48193312,,,
0.936,29,13.32302549,,,
0.94,29,6.031441612,,,
0.944,29,1.465422773,,,
0.948,29,-0.623459097,,,
0.952,29,7.397835643,,,
0.956,29,17.71620377,,,
0.96,30,34.97599016,,,
0.964,30,30.9775887,,,
0.968,30,4.29530937,,,
0.972,30,-10.45627537,,,
0.976,30,-16.46298361,,,
0.98,30,-9.27992066,,,
0.984,30,11.15079036,,,
0.988,30,20.24453704,,,
0.992,31,29.38492297,,,
0.996,31,55.7221015,,,
