Time:250Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.552,17,181.8125526,1,43,,,
0.556,17,146.9641983,1,43,,,
0.56,17,39.29825212,1,43,,,
0.564,17,36.2998458,1,43,,,
0.568,17,106.4360036,1,43,,,
0.572,17,158.1470839,1,43,,,
0.576,18,116.3755774,1,43,,,
0.58,18,6.615267911,1,43,,,
0.584,18,18.90931516,1,43,,,
0.588,18,102.1159517,1,43,,,
0.592,18,110.2517656,1,43,,,
0.596,18,58.11059715,1,43,,,
0.6,18,-16.04343146,1,43,,,
0.604,18,-44.23672646,1,43,,,
0.608,19,27.46132522,1,43,,,
0.612,19,128.0709445,1,43,,,
0.616,19,160.0265542,1,43,,,
0.62,19,76.63135892,1,43,,,
0.624,19,11.4132918,1,43,,,
0.628,19,3.466984215,1,43,,,
0.632,19,-29.73314094,1,43,,,
0.636,19,44.82069616,1,43,,,
0.64,20,101.25809,1,43,,,
0.644,20,60.82988129,1,43,,,
0.648,20,162.0708435,1,43,,,
0.652,20,265.9898701,1,43,,,
0.656,20,186.2027234,1,43,,,
0.66,20,19.5191086,1,43,,,
0.664,20,-18.97901914,1,43,,,
0.668,20,98.83538607,1,43,,,
0.672,21,202.6328782,1,43,,,
0.676,21,233.8603559,1,43,,,
0.68,21,166.6841994,1,43,,,
0.684,21,38.53839055,1,43,,,
0.688,21,66.16196788,1,43,,,
0.692,21,171.9802404,1,43,,,
0.696,21,109.7934541,1,43,,,
0.7,21,63.81655779,1,43,,,
0.704,22,121.8285736,1,43,,,
0.708,22,129.078594,1,43,,,
0.712,22,125.5872286,1,43,,,
0.716,22,153.9701117,1,43,,,
0.72,22,82.10898306,1,43,,,
0.724,22,-6.206759845,1,43,,,
0.728,22,69.68762632,1,43,,,
0.732,22,153.982098,1,43,,,
0.736,23,90.88794053,1,43,,,
0.74,23,102.1655146,1,43,,,
0.744,23,244.353844,1,43,,,
0.748,23,290.7937644,1,43,,,
0.752,23,184.2413938,1,43,,,
0.756,23,86.51343199,1,43,,,
0.76,23,134.2619715,1,43,,,
0.764,23,178.5038368,1,43,,,
0.768,24,191.9695503,1,43,,,
0.772,24,265.40331,1,43,,,
0.776,24,232.3549915,1,43,,,
0.78,24,69.7013104,1,43,,,
0.784,24,33.15826474,1,43,,,
0.788,24,75.428976,1,43,,,
0.792,24,43.02708131,1,43,,,
0.796,24,56.77377626,1,43,,,
0.8,25,160.9243413,1,43,,,
0.804,25,253.4753104,1,43,,,
0.808,25,242.1355185,1,43,,,
0.812,25,125.3126353,1,43,,,
0.816,25,35.50697759,1,43,,,
0.82,25,-40.0766109,1,43,,,
0.824,25,-5.602931576,1,43,,,
0.828,25,136.1637513,1,43,,,
0.832,26,-41.50011424,1,43,,,
0.836,26,-38.77378249,1,43,,,
0.84,26,388.4415145,1,43,,,
0.844,26,521.3244203,1,43,,,
0.848,26,517.8689811,1,43,,,
0.852,26,488.2529441,1,43,,,
0.856,26,381.7102637,1,43,,,
0.86,26,411.9935562,1,43,,,
0.864,27,469.9628793,1,43,,,
0.868,27,429.9806342,1,43,,,
0.872,27,193.3394108,1,43,,,
0.876,27,-46.64827144,1,43,,,
0.88,27,-46.91026655,1,43,,,
0.884,27,99.54841951,1,43,,,
0.888,27,201.242984,1,43,,,
0.892,27,233.4726459,1,43,,,
0.896,28,273.2344547,1,43,,,
0.9,28,228.9410968,1,43,,,
0.904,28,55.64247646,1,43,,,
0.908,28,-108.1681668,1,43,,,
0.912,28,-62.77669458,1,43,,,
0.916,28,136.7124871,1,43,,,
0.92,28,226.0815544,1,43,,,
0.924,28,260.0128192,1,43,,,
0.928,29,213.2950817,1,43,,,
0.932,29,60.0560677,1,43,,,
0.936,29,26.07615864,1,43,,,
0.94,29,-35.01029589,1,43,,,
0.944,29,-220.8937261,1,43,,,
0.948,29,-221.9542808,1,43,,,
0.952,29,-93.65020236,1,43,,,
0.956,29,2.020809306,1,43,,,
0.96,30,108.8118653,1,43,,,
0.964,30,76.37841734,1,43,,,
0.968,30,26.20409066,1,43,,,
0.972,30,10.11645393,1,43,,,
0.976,30,-253.4878342,1,43,,,
0.98,30,-520.4725484,1,43,,,
0.984,30,-485.9108372,1,43,,,
0.988,30,-193.6152267,1,43,,,
0.992,31,240.0723149,1,43,,,
0.996,31,416.8427325,1,43,,,
1,31,266.4428866,1,43,,,
1.004,31,14.74914479,1,42.99997811,,,
1.008,31,-188.903803,1,43.00377591,,,
1.012,31,-242.4448795,1,42.99908865,,,
1.016,31,-274.787761,1,42.93447297,,,
1.02,31,-270.052748,1,43.13587152,,,
1.024,32,-202.0113046,1,43.73961663,,,
1.028,32,-150.5107608,1,44.0603229,,,
1.032,32,-115.779452,1,44.01303662,,,
1.036,32,-228.2703236,1,43.99384596,,,
1.04,32,-329.4592367,1,44.00021831,,,
1.044,32,-54.9367121,1,44,,,
1.048,32,256.7068618,1,44,,,
1.052,32,122.9090511,1,44,,,
1.056,33,-28.56624448,1,44,,,
1.06,33,40.0619387,1,44,,,
1.064,33,-154.2451495,1,44,,,
1.068,33,-84.97683832,1,44,,,
1.072,33,313.8747282,1,44,,,
1.076,33,-209.4957535,1,44,,,
1.08,33,-922.3790046,1,44,,,
1.084,33,-520.3368994,1,44,,,
1.088,34,-206.4458083,1,44,,,
1.092,34,-175.1781851,1,44,,,
1.096,34,296.2672274,1,44,,,
1.1,34,235.7057905,1,44,,,
1.104,34,-351.7638043,1,44,,,
1.108,34,-465.7265364,1,44,,,
1.112,34,-224.1683662,1,44,,,
1.116,34,-280.0655265,1,44,,,
1.12,35,-688.5947172,1,44,,,
1.124,35,-748.4958565,1,44,,,
1.128,35,-646.1467472,1,44,,,
1.132,35,-903.5610217,1,44,,,
1.136,35,-734.5925553,1,44,,,
1.14,35,-393.8299649,1,44,,,
1.144,35,-620.7927229,1,44,,,
1.148,35,-904.3763509,1,44,,,
1.152,36,-940.5122014,1,44,,,
1.156,36,-995.7579465,1,44,,,
1.16,36,-652.3379993,1,44,,,
1.164,36,-138.0947562,1,44,,,
1.168,36,-510.2169586,1,44,,,
1.172,36,-758.4945516,1,44,,,
1.176,36,-303.121029,1,44,,,
1.18,36,-239.4385783,1,44,,,
1.184,37,-110.5251316,1,44,,,
1.188,37,41.3935221,1,44,,,
1.192,37,-518.608913,1,44,,,
1.196,37,-755.5025152,1,44,,,
1.2,37,-294.8863301,1,44,,,
1.204,37,-123.729904,1,44,,,
1.208,37,-348.410523,1,44,,,
1.212,37,-421.3041047,1,44,,,
1.216,38,-239.9624595,1,44,,,
1.22,38,43.98152202,1,44,,,
1.224,38,155.2274895,1,44,,,
1.228,38,-247.5507739,1,44,,,
1.232,38,-716.4360571,1,44,,,
1.236,38,-360.8292994,1,44,,,
1.24,38,126.7904706,1,44,,,
1.244,38,260.7712424,1,44,,,
1.248,39,420.5573389,1,44,,,
1.252,39,119.4468274,1,44,,,
1.256,39,-244.1146937,1,44,,,
1.26,39,-5.84369696,1,44,,,
1.264,39,85.09692184,1,44,,,
1.268,39,62.47604354,1,44,,,
1.272,39,462.1385497,1,44,,,
1.276,39,590.09308,1,44,,,
1.28,40,322.6882637,1,44,,,
1.284,40,308.2405744,1,44,,,
1.288,40,368.4498416,1,44,,,
1.292,40,184.4006843,1,44,,,
1.296,40,39.42231937,1,44,,,
1.3,40,219.5175149,1,44,,,
1.304,40,525.7158179,1,44,,,
1.308,40,576.5343425,1,44,,,
1.312,41,511.5645498,1,44,,,
1.316,41,531.1772988,1,44,,,
1.32,41,339.8132808,1,44,,,
1.324,41,197.2985232,1,44,,,
1.328,41,409.1718901,1,44,,,
1.332,41,541.9588076,1,44,,,
1.336,41,426.0184142,1,44,,,
1.34,41,380.5455211,1,44,,,
1.344,42,413.0104949,1,44,,,
1.348,42,474.3583883,1,44,,,
1.352,42,719.9755488,1,44,,,
1.356,42,648.9356013,1,44,,,
1.36,42,462.8941095,1,44,,,
1.364,42,612.0025723,1,44,,,
1.368,42,661.5808726,1,44,,,
1.372,42,584.7093324,1,44,,,
1.376,43,578.138001,1,44,,,
1.38,43,526.5847703,1,44,,,
1.384,43,303.4726667,1,44,,,
1.388,43,355.3816205,1,44,,,
1.392,43,652.2807348,1,44,,,
1.396,43,568.2385742,1,44,,,
1.4,43,353.8630802,1,44,,,
1.404,43,380.9572721,1,44,,,
1.408,44,654.8696374,1,44,,,
1.412,44,897.242329,1,44,,,
1.416,44,720.8613838,1,44,,,
1.42,44,547.3100019,1,44,,,
